key,coffee,coffeeArabic,caffeineActual,caloriesActual,priceMGActual,category,calories,caffeine,price,silhouette,cut
0,Green Tea,شاي أخضر,25,0,0.10,TEA,0,25,0.10,tea,0
1,Espresso,إسبريسو,65,5,0.05,COFFEE,5,65,0.05,espresso,0
2,Yerba Mate,مشروب المتة,85,5,0.03,TEA,5,85,0.03,tea,0
3,Double Espresso,دبل إسبريسو,130,6,0.04,COFFEE,6,130,0.04,espresso,0
4,Americano,قهوة أميريكانو,225,15,0.02,COFFEE,15,225,0.02,large,0
5,Americano + milk,قهوة أميريكانو بالحليب (دسم 2%),225,30,0.02,COFFEE,30,225,0.02,large,0
6,English Breakfast + 1 sugar,شاي الإفطار الإنجليزي بالحليب (دسم 2% وملعقة سكر),56,39,0.13,TEA,39,26,0.13,tea,0
7,Turkish Coffee ,قهوة تركية,25,46,0.12,COFFEE,46,25,0.12,espresso,0
8,Red Bull,مشروب ريد بول,77,46,0.03,SOFT DRINK,46,77,0.03,redbull,0
9,Sugar-free Hot Chocolate,شوكولاتة ساخنة خالية من السكر,5,60,1.26,CHOCOLATE,60,5,0.50,large,0
10,Instant Coffee + 2 sugars,قهوة سريعة التحضير بالحليب (وملعقتا سكر),47,83,0.01,COFFEE,83,47,0.01,large,0
11,Café Crème,قهوة برغوة الكريم,225,106,0.02,COFFEE,106,225,0.02,espresso,0
12,Cappuccino ,كاباتشينو,150,120,0.03,COFFEE,120,150,0.03,tea,0
13,Pepsi,بيبسي,38,139,0.03,SOFT DRINK,138.6,38,0.03,can,0
14,Coke ,كولا,32,150,0.03,SOFT DRINK,150,32,0.03,can,0
15,Latte,قهوة لاتيه,150,190,0.03,COFFEE,190,150,0.03,tea,0
16,Dark Chocolate Bar ,قطعة شيكولاتة داكنة,42,205,0.03,NON-DRINK,205,42,0.03,chocolate,0
17,Mocha (small),قهوة موكا,195,220,0.02,COFFEE,220,195,0.02,espresso,0
18,Chai Latte ,شاي لاتيه,95,240,0.05,TEA,240,95,0.05,tea,0
19,Lucozade,مشروب لوكوزادي,46,266,0.02,SOFT DRINK,266,46,0.02,lucozade,0
20,Mountain Dew,ماونتين ديو,91,290,0.01,SOFT DRINK,290,91,0.01,mtn-dew,0
21,Spiced Hot Chocolate ,شوكولاتة ساخنة متبلة,25,320,0.24,CHOCOLATE,320,25,0.24,large,0
22,Ghana-Java Hot Chocolate ,شوكولاتة غانا جاوا الساخنة,25,380,0.24,CHOCOLATE,380,25,0.24,large,0
23,Vanilla Cream Frappuccino ,فرابتشينو بالكريمة والفانيليا,65,400,0.10,COFFEE,400,65,0.10,iced,0
24,Frappuccino ,فرابتشينو,110,410,0.06,COFFEE,410,110,0.06,iced,0
25,Caramel Sticky Mocha ,موكا بالكراميل,110,420,0.05,COFFEE,420,110,0.05,espresso,0
26,Mocha (big),قهوة موكا,150,430,0.04,COFFEE,430,150,0.04,espresso,0
27,Hot choc + marshmallows,شوكولاتة ميلو,25,480,0.23,CHOCOLATE,480,25,0.23,espresso,0
28,Coffee Ice Cream ,قهوة آيس كريم,48,540,0.06,NON-DRINK,500,48,0.06,coffee-ice-cream,0